gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
tet(o/w/32/o),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,30,34.11,2.03,,10000000,5.81,0.39
tet(q),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.848,96.35,Unknown taxonomy (chromosome),202,100,14.4,Bacteroides fragilis (chromosome): 7; ,10000000,39.1,2.79
tet(w),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,80.7812,97.68,Unknown taxonomy (chromosome),95,96.2,6.88,Bifidobacterium longum (chromosome): 1; ,10000000,18.39,1.33
tet(w/32/o),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,5,16.3,0.33,Trueperella pyogenes (chromosome): 1; ,10000000,0.97,0.06
tet(w/n/w),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,12,27.92,0.94,,10000000,2.32,0.18
tet(x),sample-11,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,25.71,0.26,,10000000,0.39,0.05
tet(x1),sample-11,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,52.41,0.55,,10000000,0.77,0.11
vanr gene in vang cluster,sample-11,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,3,9.04,0.27,,10000000,0.58,0.05
aads,sample-10,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,87.1528,100,Unknown taxonomy (chromosome or plasmid),54,96.76,7.41,,10000000,9.64,1.32
acrb,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,82,80.35,3.75,Escherichia coli (chromosome): 1; Escherichia coli (chromosome or plasmid): 2; Escherichia (chromosome): 1; ,10000000,14.64,0.67
acrd,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,66,83.33,2.95,,10000000,11.78,0.53
acre,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,29,79.62,3.69,,10000000,5.18,0.66
acrf,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,66,92.43,3.12,Escherichia coli (chromosome or plasmid): 3; ,10000000,11.78,0.56
acrs,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,9,75.57,1.62,,10000000,1.61,0.29
adef,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,97.8302,42.9,Phocaeicola dorei (chromosome),,,,,10000000,0,0
ant(3'')-iia,sample-10,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,30.86,0.31,,10000000,0.36,0.06
aph(3')-iiia,sample-10,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,32.7,0.38,,10000000,0.36,0.07
baca,sample-10,undecaprenyl pyrophosphate related proteins,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,12,87.35,2.03,,10000000,2.14,0.36
baer,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,17,85.48,3.28,,10000000,3.04,0.59
baes,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,22,81.41,2.18,Escherichia coli (chromosome or plasmid): 1; ,10000000,3.93,0.39
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-10,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,114,49.99,0.87,,10000000,20.36,0.16
campylobacter coli chloramphenicol acetyltransferase,sample-10,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,30.77,0.31,Klebsiella pneumoniae (chromosome): 1; ,10000000,0.36,0.06
catp,sample-10,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,39.42,0.24,,10000000,0.36,0.04
cepa,sample-10,CepA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,14,58.8,1.95,Bacteroides fragilis (chromosome): 12; ,10000000,2.5,0.35
cfxa2,sample-10,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Perfect,99.6894,100,Unknown taxonomy (chromosome or plasmid),61,98.55,8.55,,10000000,10.89,1.53
cfxa3,sample-10,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,4,32.3,0.61,,10000000,0.71,0.11
cpxa,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,22,68.85,2.29,Escherichia coli (chromosome or plasmid): 4; ,10000000,3.93,0.41
crp,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,25,89.1,4.46,Escherichia coli (chromosome or plasmid): 2; ,10000000,4.46,0.8
crxa,sample-10,subclass B1 Bacteroides xylanisolvens crx beta-lactamase,carbapenem,antibiotic inactivation,protein homolog,0,,,,,2,28.49,0.28,,10000000,0.36,0.05
dfrf,sample-10,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,15,100,3.93,,10000000,2.68,0.7
emra,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,34,94.37,4.34,,10000000,6.07,0.77
emrk,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,31,95.08,4.07,Escherichia coli (chromosome or plasmid): 1; ,10000000,5.54,0.73
emrr,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,11,83.8,2.7,,10000000,1.96,0.48
emry,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,14,62.25,1.36,,10000000,2.5,0.24
epta,sample-10,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,44,85.64,3.52,Escherichia coli (chromosome or plasmid): 1; ,10000000,7.86,0.63
ered,sample-10,macrolide esterase,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,10,67.56,1.08,,10000000,1.79,0.19
ermb,sample-10,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,35.07,0.4,,10000000,0.36,0.07
ermf,sample-10,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,79,100,12.04,Bacteroides (chromosome or plasmid): 1; ,10000000,14.11,2.15
escherichia coli acra,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,21,71.36,2.56,Escherichia coli (chromosome or plasmid): 3; ,10000000,3.75,0.46
escherichia coli ampc beta-lactamase,sample-10,ampC-type beta-lactamase,cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,43,88.27,4.72,Escherichia coli (chromosome): 3; Escherichia coli (chromosome or plasmid): 1; ,10000000,7.68,0.84
escherichia coli emre,sample-10,small multidrug resistance (SMR) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,99.0991,98.18,Unknown taxonomy (chromosome or plasmid),9,100,2.73,,10000000,1.61,0.49
escherichia coli mdfa,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,26,73.24,2.92,Escherichia coli (chromosome or plasmid): 1; ,10000000,4.64,0.52
escherichia coli soxr with mutation conferring antibiotic resistance,sample-10,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic target alteration; antibiotic efflux,protein overexpression,1,Strict,99.3548,100,Unknown taxonomy (chromosome or plasmid),,,,,10000000,0,0
evga,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,97.561,100,Unknown taxonomy (chromosome or plasmid),14,100,3.18,,10000000,2.5,0.57
evgs,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,62,65.66,2.23,Escherichia coli (chromosome or plasmid): 1; ,10000000,11.07,0.4
gadw,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,8,67.63,1.58,Escherichia coli (chromosome): 1; ,10000000,1.43,0.28
gadx,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,31,97.33,4.9,Escherichia coli (chromosome): 1; ,10000000,5.54,0.87
h-ns,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.2754,99.27,Unknown taxonomy (chromosome or plasmid),15,100,4.64,,10000000,2.68,0.83
kdpe,sample-10,kdpDE,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,33,99.71,3.2,,10000000,5.89,0.57
lptd,sample-10,ATP-binding cassette (ABC) antibiotic efflux pump,carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,antibiotic efflux,protein homolog,0,,,,,17,29.59,0.51,,10000000,3.04,0.09
mara,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams,fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux; reduced permeability to antibiotic,protein homolog,0,,,,,9,90.36,2.92,,10000000,1.61,0.52
mdta,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,16,57.29,1.92,,10000000,2.86,0.34
mdtb,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,57,84.6,2.7,Escherichia coli (chromosome): 1; Escherichia coli (chromosome or plasmid): 2; ,10000000,10.18,0.48
mdtc,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,53,85.64,2.54,Escherichia coli (chromosome): 1; Shigella boydii (chromosome or plasmid): 1; ,10000000,9.46,0.45
mdte,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,35,91.11,4.38,Escherichia coli (chromosome): 5; ,10000000,6.25,0.78
mdtf,sample-10,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,105,94.44,4.96,,10000000,18.75,0.89
mdtg,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,fosfomycin,antibiotic efflux,protein homolog,0,,,,,28,93.15,3.27,Escherichia coli (chromosome or plasmid): 1; ,10000000,5,0.58
mdth,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,34,75.77,3.99,Escherichia coli (chromosome): 3; ,10000000,6.07,0.71
mdtm,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,36,81.91,4.27,Escherichia coli (chromosome or plasmid): 1; ,10000000,6.43,0.76
mdtn,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,6,35.95,0.51,,10000000,1.07,0.09
mdto,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,19,62.52,1.23,,10000000,3.39,0.22
mdtp,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,40,95.23,3.8,Escherichia coli (chromosome): 3; Escherichia coli (chromosome or plasmid): 1; ,10000000,7.14,0.68
mef(en2),sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,67,100,7.37,,10000000,11.96,1.32
mel,sample-10,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,18,70.03,2.12,Parabacteroides distasonis (chromosome): 2; Clostridioides difficile (chromosome): 2; Parabacteroides distasonis (plasmid): 3; ,10000000,3.21,0.38
mpha,sample-10,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.6689,100,Unknown taxonomy (chromosome or plasmid),325,100,48.13,Escherichia coli (chromosome or plasmid): 4; Citrobacter freundii (chromosome or plasmid): 2; Escherichia coli (plasmid): 5; ,10000000,58.03,8.59
msba,sample-10,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,protein homolog,0,,,,,54,94.28,4.09,Shigella flexneri (chromosome): 5; ,10000000,9.64,0.73
ompa,sample-10,General Bacterial Porin with reduced permeability to beta-lactams,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,reduced permeability to antibiotic,protein homolog,0,,,,,8,49.16,0.59,,10000000,1.43,0.11
oxa-347,sample-10,OXA beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,13,60.61,1.46,,10000000,2.32,0.26
pata,sample-10,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,2,17.7,0.18,Streptococcus pneumoniae (chromosome): 1; ,10000000,0.36,0.03
pmrf,sample-10,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,23,88.54,3.25,Escherichia coli (chromosome or plasmid): 2; ,10000000,4.11,0.58
qnrs3,sample-10,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,protein homolog,0,,,,,2,45.87,0.46,,10000000,0.36,0.08
sul1,sample-10,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,33.57,0.36,,10000000,0.36,0.06
tem-1,sample-10,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,1,Perfect,99.6516,100,Unknown taxonomy (chromosome or plasmid),,,,,10000000,0,0
tem-104,sample-10,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,245,97.44,39.57,Escherichia coli (chromosome or plasmid): 2; Klebsiella pneumoniae (chromosome or plasmid): 1; Streptococcus pyogenes (chromosome or plasmid): 1; ,10000000,43.75,7.07
tem-206,sample-10,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,48,40.77,7.34,Escherichia coli (chromosome or plasmid): 1; ,10000000,8.57,1.31
tet(32),sample-10,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,22,52.97,1.36,Bifidobacterium longum (chromosome): 1; ,10000000,3.93,0.24
tet(40),sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,46,99.18,5.21,,10000000,8.21,0.93
tet(o),sample-10,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,81.5625,98.995,Anaerostipes hadrus (chromosome or plasmid) Enterococcus faecalis (chromosome or plasmid),60,93.59,4.29,Streptococcus suis (chromosome or plasmid): 3; Anaerostipes hadrus (chromosome or plasmid): 3; ,10000000,10.71,0.77
tet(o/32/o),sample-10,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,26.04,0.47,,10000000,1.07,0.08
tet(o/m/o),sample-10,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,8,18.7,0.62,Anaerostipes hadrus (chromosome or plasmid): 3; ,10000000,1.43,0.11
tet(o/w/32/o),sample-10,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,13,22.4,1.02,,10000000,2.32,0.18
tet(q),sample-10,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.848,97.56,Bacteroides ovatus (chromosome),160,100,11.35,Bacteroides fragilis (chromosome): 3; ,10000000,28.57,2.03
tet(w),sample-10,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,99.8438,98.805,Unknown taxonomy (chromosome),115,100,8.69,Trueperella pyogenes (chromosome): 1; ,10000000,20.53,1.55
tet(w/32/o),sample-10,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,16,40.52,1.14,Trueperella pyogenes (chromosome): 6; ,10000000,2.86,0.2
tet(w/n/w),sample-10,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,29.43,0.31,Trueperella pyogenes (chromosome): 1; ,10000000,0.71,0.06
tet(x1),sample-10,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,43,98.8,5.15,Bacteroides fragilis (chromosome): 2; ,10000000,7.68,0.92
tet(x3),sample-10,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,15,39.85,1.86,,10000000,2.68,0.33
tet(x4),sample-10,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,14.34,0.25,,10000000,0.36,0.04
tet(x5),sample-10,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,15.94,0.26,,10000000,0.36,0.05
tolc,sample-10,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,20,78.7,1.97,,10000000,3.57,0.35
ugd,sample-10,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,6,28.28,0.75,,10000000,1.07,0.13
vant gene in vang cluster,sample-10,glycopeptide resistance gene cluster; vanT,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,49,88.41,3.39,Streptococcus agalactiae (chromosome): 6; ,10000000,8.75,0.61
yoji,sample-10,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,29,79.01,2.6,Escherichia coli (chromosome): 2; ,10000000,5.18,0.46
aad(6),sample-9,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,5,42.96,0.36,,10000000,1,0.07
aads,sample-9,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,5,32.52,0.69,,10000000,1,0.14
ant(6)-ia,sample-9,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,30.56,0.34,,10000000,0.4,0.07
aph(2'')-ig,sample-9,APH(2''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,14.12,0.28,Campylobacter (plasmid): 2; ,10000000,0.4,0.06
aph(3'')-ib,sample-9,APH(3''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,25.5,0.32,,10000000,0.4,0.06
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-9,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,103,46.14,0.59,Bifidobacterium longum (chromosome): 1; ,10000000,20.65,0.12
cats,sample-9,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,5,50,1.25,Anaerostipes hadrus (chromosome): 3; ,10000000,1,0.25
cepa,sample-9,CepA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,1,3.65,0.04,,10000000,0.2,0.01
cfxa,sample-9,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,16,70.5,2.39,,10000000,3.21,0.48
dfrf,sample-9,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,6,45.66,1.14,,10000000,1.2,0.23
ebr-4,sample-9,EBR beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,2,2.4,0.05,,10000000,0.4,0.01
ered,sample-9,macrolide esterase,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,8,59.58,0.98,,10000000,1.6,0.2
mef(en2),sample-9,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,1,7.3,0.07,,10000000,0.2,0.01
nima,sample-9,nitroimidazole reductase,nitroimidazole antibiotic,antibiotic inactivation,protein homolog,1,Strict,90.3955,50.62,,,,,,10000000,0,0
oxa-347,sample-9,OXA beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,4,60.24,0.69,,10000000,0.8,0.14
rpob2,sample-9,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,8,13.67,0.09,,10000000,1.6,0.02
sat-4,sample-9,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,51.57,0.52,,10000000,0.4,0.1
sul2,sample-9,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,36.76,0.37,,10000000,0.4,0.07
